编号,游戏名称,中文名,中文名_clean,GBA.ZH
GBA#1,007 - Everything or Nothing (Japan),詹姆斯邦德007-谁与争锋007 （日版）,詹姆斯邦德007-谁与争锋007,007 谁与争锋.gba
GBA#2,"007 - Everything or Nothing (USA, Europe) (En,Fr,De)","詹姆斯邦德007-谁与争锋007 （美版 欧版） (En,Fr,De)",詹姆斯邦德007-谁与争锋007,
GBA#3,"007 - NightFire (USA, Europe) (En,Fr,De)","占士邦007-夜火 （美版 欧版） (En,Fr,De)",占士邦007-夜火,007 夜火.gba
GBA#4,"2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)","2合1-迪斯尼全明星体育系列-足球+滑板 （欧版） (En,Fr,De,Es,It)",2合1-迪斯尼全明星体育系列-足球+滑板,
GBA#5,"2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)","游戏2合1-小飞侠和星际宝贝2 （欧版） (En,Fr,De,Es+En,Fr,De,Es,It,Nl)",游戏2合1-小飞侠和星际宝贝2,
GBA#6,"2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)",游戏2合1-无敌风火轮赛车-疾速赛车X+世界赛车 （美版 欧版）,游戏2合1-无敌风火轮赛车-疾速赛车X+世界赛车,
GBA#7,"2 Game Pack! - Matchbox Missions - Emergency Response & Air, Land and Sea Rescue (Europe) (En,Fr,De,Es,It)","火柴盒任务2合1 （欧版） (En,Fr,De,Es,It)",火柴盒任务2合1,
GBA#8,"2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)",2合1-Matchbox任务 （美版）,2合1-Matchbox任务,
GBA#9,"2 Game Pack! - Uno & Skip-Bo (Europe) (En,Fr,De,Es,It)","纸牌游戏合集包 （欧版） (En,Fr,De,Es,It)",纸牌游戏合集包,
GBA#10,2 Game Pack! - Uno + Skip-Bo (USA),2合1-UNO-纸牌 （美版）,2合1-UNO-纸牌,
GBA#11,"2 Games in 1 - Alla Ricerca di Nemo + Gli Incredibili - Una 'Normale' Famiglia di Supereroi (Italy) (Es,It+It)","游戏2合1-海底总动员1+超人特攻队 （意大利版） (Es,It+It)",游戏2合1-海底总动员1+超人特攻队,
GBA#12,"2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)","游戏2合1-乐高生化战士和乐高骑士王国 （欧版） (En,Fr,De,Da+En,De)",游戏2合1-乐高生化战士和乐高骑士王国,
GBA#13,"2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼青年装 （欧版） (En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼青年装,
GBA#14,"2 Games in 1 - Buscando a Nemo + Los Increibles (Spain) (Es,It+Es)","游戏2合1-海底总动员合集 （西班牙版） (Es,It+Es)",游戏2合1-海底总动员合集,
GBA#15,2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA),游戏2合1-卡通网络包 （美版）,游戏2合1-卡通网络包,
GBA#16,"2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)","游戏2合1-世嘉包 （欧版） (En+En,Ja,Fr,De,Es)",游戏2合1-世嘉包,
GBA#17,2 Games in 1 - Die Monster AG + Findet Nemo (Germany),游戏2合1-海底总动员和怪兽公司 （德国版）,游戏2合1-海底总动员和怪兽公司,
GBA#18,"2 Games in 1 - Disney Princesas + El Rey Leon (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼女孩装 （西班牙版） (Es+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼女孩装,
GBA#19,"2 Games in 1 - Disney Princesas + Hermano Oso (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-熊兄弟+迪斯尼公主 （西班牙版） (Es+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-熊兄弟+迪斯尼公主,
GBA#20,2 Games in 1 - Disney Princesas + Lizzie McGuire (Spain),游戏2合1-迪斯尼公主和平民天后 （西班牙版）,游戏2合1-迪斯尼公主和平民天后,
GBA#21,"2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼白雪公主们和迪斯尼小熊的兄弟们 （欧版） (En+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼白雪公主们和迪斯尼小熊的兄弟们,
GBA#22,2 Games in 1 - Disney Princess + Lizzie McGuire (Europe),游戏2合1-迪斯尼公主和平民天后 （欧版）,游戏2合1-迪斯尼公主和平民天后,
GBA#23,"2 Games in 1 - Disney Princesse + Frere des Ours (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-熊兄弟+迪斯尼公主 （法国版） (Fr+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-熊兄弟+迪斯尼公主,
GBA#24,"2 Games in 1 - Disney Princesse + Le Roi Lion (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼游戏集 （法国版） (Fr+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼游戏集,
GBA#25,"2 Games in 1 - Disney Principesse + Il Re Leone (Italy) (It+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-游戏王-命运之旅+怪兽龙门骰 （意大利版） (It+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-游戏王-命运之旅+怪兽龙门骰,
GBA#26,"2 Games in 1 - Disney Principesse + Koda, Fratello Orso (Italy) (It+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼公主+熊兄弟 （意大利版） (It+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼公主+熊兄弟,
GBA#27,"2 Games in 1 - Disneys Prinzessinnen + Baerenbrueder (Germany) (De+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-熊兄弟+迪斯尼公主 （德国版） (De+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-熊兄弟+迪斯尼公主,
GBA#28,"2 Games in 1 - Disneys Prinzessinnen + Der Koenig der Loewen (Germany) (De+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼游戏集 （德国版） (De+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼游戏集,
GBA#29,"2 Games in 1 - Dr. Mario + Puzzle League (Europe) (En,Fr,De,Es,It)","新游戏2合1-马里奥医生与花仙子方块 （欧版） (En,Fr,De,Es,It)",新游戏2合1-马里奥医生与花仙子方块,
GBA#30,2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA),游戏2合1-龙珠2合1游戏合集 （美版）,游戏2合1-龙珠2合1游戏合集,
GBA#31,2 Games in 1 - Findet Nemo + Die Unglaublichen (Germany),2合1-海底总动员+超人特攻队 （德国版）,2合1-海底总动员+超人特攻队,
GBA#32,"2 Games in 1 - Findet Nemo + Findet Nemo - Das Abenteuer Geht Weiter (Germany) (De+Fr,De,Nl)","海底总动员2合1 （德国版） (De+Fr,De,Nl)",海底总动员2合1,
GBA#33,"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (En+En,Es,It,Sv,Da)","游戏2合1-海底总动员合集 （欧版） (En+En,Es,It,Sv,Da)",游戏2合1-海底总动员合集,
GBA#34,"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Es,It+En,Es,It,Sv,Da)","游戏2合1-海底总动员合集 （欧版） (Es,It+En,Es,It,Sv,Da)",游戏2合1-海底总动员合集,
GBA#35,"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)","游戏2合1-海底总动员合集 （欧版） (Fr,Nl+Fr,De,Nl)",游戏2合1-海底总动员合集,
GBA#36,2 Games in 1 - Finding Nemo + The Incredibles (Europe),游戏2合1-海底总动员1+超人特攻队 （欧版）,游戏2合1-海底总动员1+超人特攻队,
GBA#37,"2 Games in 1 - Finding Nemo + The Incredibles (Europe) (Fr,Nl)","游戏2合1-海底总动员1+超人特攻队 （欧版） (Fr,Nl)",游戏2合1-海底总动员1+超人特攻队,
GBA#38,2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles (USA),游戏2合1-超人总动员+海底总动员2 （美版）,游戏2合1-超人总动员+海底总动员2,
GBA#39,2 Games in 1 - Golden Nugget Casino + Texas Hold 'em Poker (USA),新游戏2合1-棋牌2合1 （美版）,新游戏2合1-棋牌2合1,
GBA#40,2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (Europe),游戏2合1-无敌风火轮赛车 （欧版）,游戏2合1-无敌风火轮赛车,
GBA#41,2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA),游戏2合1-无敌风火轮赛车 （美版）,游戏2合1-无敌风火轮赛车,
GBA#42,2 Games in 1 - Les Razmoket Rencontrent les Delajungle + SpongeBob SquarePants - SuperSponge (France),游戏2合1-海淿方块+淘气小兵兵 （法国版）,游戏2合1-海淿方块+淘气小兵兵,
GBA#43,"2 Games in 1 - Monsters & Co. + Alla Ricerca di Nemo (Italy) (En,Fr,It+Es,It)","游戏2合1-迪斯尼补充包游戏集 （意大利版） (En,Fr,It+Es,It)",游戏2合1-迪斯尼补充包游戏集,
GBA#44,"2 Games in 1 - Monsters en Co. + Finding Nemo (Netherlands) (En,Es,Nl+Fr,Nl)","游戏2合1-怪物公司+海底总动员 （荷兰版） (En,Es,Nl+Fr,Nl)",游戏2合1-怪物公司+海底总动员,
GBA#45,"2 Games in 1 - Monsters, Inc. + Finding Nemo (Europe)",游戏2合1-海底总动员+怪物公司 （欧版）,游戏2合1-海底总动员+怪物公司,
GBA#46,"2 Games in 1 - Monsters, Inc. + Finding Nemo (USA)",游戏2合1-海底总动员+怪物公司 （美版）,游戏2合1-海底总动员+怪物公司,
GBA#47,"2 Games in 1 - Monstres & Cie + Le Monde de Nemo (France) (En,Fr,It+Fr,Nl)","2合1-怪物工厂&海底总动员 （法国版） (En,Fr,It+Fr,Nl)",2合1-怪物工厂&海底总动员,
GBA#48,"2 Games in 1 - Monstruos, S.A. + Buscando a Nemo (Spain) (En,Es,Nl+Es,It)","游戏2合1-怪物工厂和海底总动员 （西班牙版） (En,Es,Nl+Es,It)",游戏2合1-怪物工厂和海底总动员,
GBA#49,"2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En)","游戏2合1-GP摩托和GTA赛车3 （欧版） (En,Fr,De,Es,It+En)",游戏2合1-GP摩托和GTA赛车3,
GBA#50,"2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - La Force du Temps (France) (En,Fr,De+Fr)","游戏2合1-鸟人战队合集 （法国版） (En,Fr,De+Fr)",游戏2合1-鸟人战队合集,
GBA#51,"2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force (Europe) (En,Fr,De+En)","游戏2合1-金刚战士合集 （欧版） (En,Fr,De+En)",游戏2合1-金刚战士合集,
GBA#52,"2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force (Germany) (En,Fr,De+De)","游戏2合1-金刚战士合集 （德国版） (En,Fr,De+De)",游戏2合1-金刚战士合集,
GBA#53,"2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force (USA) (En,Fr,De+En)","游戏2合1-金刚战士合集 （美版） (En,Fr,De+En)",游戏2合1-金刚战士合集,
GBA#54,2 Games in 1 - Quad Desert Fury + Monster Trucks (USA),游戏2合1-沙漠狂暴人竞技赛+怪兽大脚车 （美版）,游戏2合1-沙漠狂暴人竞技赛+怪兽大脚车,
GBA#55,2 Games in 1 - Rugrats - Go Wild + SpongeBob SquarePants - SuperSponge (Europe),游戏2合1-超级海绵+小淘气 （欧版）,游戏2合1-超级海绵+小淘气,
GBA#56,"2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Desatado (Spain) (Es+En,Fr,De,Es,It)","游戏2合1-史诺比系列 （西班牙版） (Es+En,Fr,De,Es,It)",游戏2合1-史诺比系列,
GBA#57,"2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Les Monstres Se Dechainent (France) (Fr+En,Fr,De,Es,It)","游戏2合1-史酷比合集 （法国版） (Fr+En,Fr,De,Es,It)",游戏2合1-史酷比合集,
GBA#58,2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Monsters Unleashed (Europe),游戏2合1-史酷比合集 （欧版）,游戏2合1-史酷比合集,
GBA#59,2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Monsters Unleashed (USA),游戏2合1-史酷比合集 （美版）,游戏2合1-史酷比合集,
GBA#60,"2 Games in 1 - Scooby-Doo! - Mystery Mayhem + Scooby-Doo and the Cyber Chase (Europe) (En,Fr,De+En)","游戏2合1-史诺比鬼屋历险 （欧版） (En,Fr,De+En)",游戏2合1-史诺比鬼屋历险,
GBA#61,"2 Games in 1 - Scooby-Doo! - Mystery Mayhem + Scooby-Doo and the Cyber Chase (USA) (En,Fr,De+En)","游戏2合1-史诺比鬼屋历险 （美版） (En,Fr,De+En)",游戏2合1-史诺比鬼屋历险,
GBA#62,"2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es)","游戏2合1-索尼克A+咻咻火箭 （欧版） (En,Ja,Fr,De,Es)",游戏2合1-索尼克A+咻咻火箭,
GBA#63,"2 Games in 1 - Sonic Advance + Sonic Battle (Europe) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It)","游戏2合1-索尼克包 （欧版） (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It)",游戏2合1-索尼克包,
GBA#64,"2 Games in 1 - Sonic Advance + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It)","游戏2合1-索尼克包 （欧版） (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It)",游戏2合1-索尼克包,
GBA#65,"2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es)","游戏2合1-索尼克大乱斗+啾啾火箭 （欧版） (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es)",游戏2合1-索尼克大乱斗+啾啾火箭,
GBA#66,"2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It)","游戏2合1-索尼克包 （欧版） (En,Ja,Fr,De,Es,It)",游戏2合1-索尼克包,
GBA#67,"2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En)","游戏2合1-索尼克弹珠台+方块大战 （欧版） (En,Ja,Fr,De,Es,It+En)",游戏2合1-索尼克弹珠台+方块大战,
GBA#68,"2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Jimmy Neutron Boy Genius (Europe) (En,Fr,De+En,Fr,De,Es)","游戏2合1-超级海绵和吉米小子 （欧版） (En,Fr,De+En,Fr,De,Es)",游戏2合1-超级海绵和吉米小子,
GBA#69,2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Nicktoons - Freeze Frame Frenzy (USA),游戏2合1-海绵方块+尼克通 （美版）,游戏2合1-海绵方块+尼克通,
GBA#70,2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + The Fairly OddParents! - Breakin' da Rules (USA),游戏2合1-海淿方块+反斗家族 （美版）,游戏2合1-海淿方块+反斗家族,
GBA#71,2 Games in 1 - SpongeBob SquarePants - Revenge of the Flying Dutchman + SpongeBob SquarePants - SuperSponge (Europe),游戏2合1-超级海绵笨伯 （欧版）,游戏2合1-超级海绵笨伯,
GBA#72,2 Games in 1 - SpongeBob SquarePants - Revenge of the Flying Dutchman + SpongeBob SquarePants - SuperSponge (USA),游戏2合1-超级海绵笨伯 （美版）,游戏2合1-超级海绵笨伯,
GBA#73,2 Games in 1 - SpongeBob SquarePants - SuperSponge + SpongeBob SquarePants - Battle for Bikini Bottom (Europe),游戏2合1-超级海绵大冒险+比基尼岛的冒险 （欧版）,游戏2合1-超级海绵大冒险+比基尼岛的冒险,
GBA#74,"2 Games in 1 - SpongeBob SquarePants - SuperSponge + SpongeBob SquarePants - Battle for Bikini Bottom (Europe) (En+En,Fr,De)","游戏2合1-超级海绵大冒险+比基尼岛的冒险 （欧版） (En+En,Fr,De)",游戏2合1-超级海绵大冒险+比基尼岛的冒险,
GBA#75,"2 Games in 1 - The Lion King + Disney Princess (Europe) (En,Fr,De,Es,It,Nl,Sv,Da+En)","游戏2合1-狮子王+迪斯尼公主 （欧版） (En,Fr,De,Es,It,Nl,Sv,Da+En)",游戏2合1-狮子王+迪斯尼公主,
GBA#76,"2 Games in 1 - The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy (Europe) (En,Fr,De,Es,It,Nl+En,Fr,De,Es,Nl)","游戏2合1-海淿方块+尼克通大集合 （欧版） (En,Fr,De,Es,It,Nl+En,Fr,De,Es,Nl)",游戏2合1-海淿方块+尼克通大集合,
GBA#77,2 Games in 1! - Dragon Ball Z - Buu's Fury + Dragon Ball GT - Transformation (USA),游戏2合1-龙珠Z+龙珠GT （美版）,游戏2合1-龙珠Z+龙珠GT,
GBA#78,2 Games in One! - Dr. Mario + Puzzle League (USA),新游戏2合1-马里奥医生与花仙子方块 （美版）,新游戏2合1-马里奥医生与花仙子方块,
GBA#79,"2 Games in One! - Gauntlet + Rampart (Europe) (En,Fr,De,Es,It)","新游戏2合1-铁腕战士.射击堡垒 （欧版） (En,Fr,De,Es,It)",新游戏2合1-铁腕战士.射击堡垒,
GBA#80,2 Games in One! - Gauntlet + Rampart (USA),新游戏2合1-铁腕战士.射击堡垒 （美版）,新游戏2合1-铁腕战士.射击堡垒,
GBA#81,"2 Games in One! - Marble Madness + Klax (Europe) (En,Fr,De,Es,It)","新游戏2合1-疯狂弹珠与立体方块 （欧版） (En,Fr,De,Es,It)",新游戏2合1-疯狂弹珠与立体方块,
GBA#82,2 Games in One! - Marble Madness + Klax (USA),新游戏2合1-疯狂弹珠与立体方块 （美版）,新游戏2合1-疯狂弹珠与立体方块,
GBA#83,"2 Games in One! - Paperboy + Rampage (Europe) (En,Fr,De,Es,It)","新游戏2合1-送报童与毁灭金刚 （欧版） (En,Fr,De,Es,It)",新游戏2合1-送报童与毁灭金刚,
GBA#84,2 Games in One! - Paperboy + Rampage (USA),新游戏2合1-送报童与毁灭金刚 （美版）,新游戏2合1-送报童与毁灭金刚,
GBA#85,"2 Games in One! - Spy Hunter + Super Sprint (Europe) (En,Fr,De,Es,It)","新游戏2合1-间谍猎手赛车.超级冲刺 （欧版） (En,Fr,De,Es,It)",新游戏2合1-间谍猎手赛车.超级冲刺,
GBA#86,2 Games in One! - Spy Hunter + Super Sprint (USA),新游戏2合1-间谍猎手赛车.超级冲刺 （美版）,新游戏2合1-间谍猎手赛车.超级冲刺,
GBA#87,2 Great Games! - Pac-Man World + Ms. Pac-Man - Maze Madness (USA),游戏2合1-吃豆小姐+吃豆先生 （美版）,游戏2合1-吃豆小姐+吃豆先生,
GBA#88,"2 in 1 - Asterix & Obelix - Bash Them All! + Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It,Nl)","游戏2合1-美丽新世界+幻想新国度 （欧版） (En,Fr,De,Es,It,Nl)",游戏2合1-美丽新世界+幻想新国度,
GBA#89,"2 in 1 - V-Rally 3 + Stuntman (Europe) (En,Fr,De,Es,It)","游戏2合1-V拉力3+特技人 （欧版） (En,Fr,De,Es,It)",游戏2合1-V拉力3+特技人,
GBA#90,"2 in 1 Game Pack - Shrek 2 & Shark Tale (Europe) (En,Fr,De,Es,It,Sv+En,Fr,De,Es,It)","游戏2合1-鲨鱼故事和怪物史瑞克2 （欧版） (En,Fr,De,Es,It,Sv+En,Fr,De,Es,It)",游戏2合1-鲨鱼故事和怪物史瑞克2,
GBA#91,2 in 1 Game Pack - Shrek 2 + Shark Tale (USA),2合1-鲨鱼黑帮+史莱克2 （美版）,2合1-鲨鱼黑帮+史莱克2,
GBA#92,"2 in 1 Game Pack - Spider-Man & Spider-Man 2 (Europe) (En,Fr,De+En,Fr,De,Es,It)","游戏2合1-蜘蛛侠 （欧版） (En,Fr,De+En,Fr,De,Es,It)",游戏2合1-蜘蛛侠,
GBA#93,"2 in 1 Game Pack - Spider-Man + Spider-Man 2 (USA) (En,Fr,De+En,Fr,De,Es)","游戏2合1-蜘蛛侠+蜘蛛侠2 （美版） (En,Fr,De+En,Fr,De,Es)",游戏2合1-蜘蛛侠+蜘蛛侠2,
GBA#94,"2 in 1 Game Pack - Spider-Man - Mysterio's Menace + X2 - Wolverine's Revenge (USA, Europe)",游戏2合1-蜘蛛侠+X战警 （美版 欧版）,游戏2合1-蜘蛛侠+X战警,
GBA#95,"2 in 1 Game Pack - Tony Hawk's Underground + Kelly Slater's Pro Surfer (USA, Europe)",游戏2合1-托尼霍克地下滑板+凯利·史雷特职业冲浪 （美版 欧版）,游戏2合1-托尼霍克地下滑板+凯利·史雷特职业冲浪,
GBA#96,2 Jeux en 1 - Titeuf - Ze Gag Machine + Titeuf - Mega Compet (France),2合1-坏小子+坏小子-迪德夫 （法国版）,2合1-坏小子+坏小子-迪德夫,
GBA#97,2-in-1 Fun Pack - Shrek 2 + Madagascar (Europe),游戏2合1-马达加斯加+史莱克2 （欧版）,游戏2合1-马达加斯加+史莱克2,
GBA#98,2-in-1 Fun Pack - Shrek 2 + Madagascar (USA),游戏2合1-马达加斯加+史莱克2 （美版）,游戏2合1-马达加斯加+史莱克2,
GBA#99,2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation Penguin (Europe),游戏2合1-史莱克2+马达加斯加 （欧版）,游戏2合1-史莱克2+马达加斯加,
GBA#100,2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation Penguin (USA),游戏2合1-史莱克2+马达加斯加 （美版）,游戏2合1-史莱克2+马达加斯加,
GBA#101,"2006 FIFA World Cup - Germany 2006 (USA, Europe) (En,Fr,De,Es,It)","2006FIFA世界杯 （美版 欧版） (En,Fr,De,Es,It)",2006FIFA世界杯,
GBA#102,2K Sports - Major League Baseball 2K7 (USA),美国职业棒球大联盟2007 （美版）,美国职业棒球大联盟2007,
GBA#103,3 Game Pack! - Candy Land + Chutes and Ladders + Original Memory Game (USA),游戏3合1 - 幼儿益智游戏合集 （美版）,游戏3合1 - 幼儿益智游戏合集,
GBA#104,3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA),3合1小游戏 （美版）,3合1小游戏,
GBA#105,3 Game Pack! - Mouse Trap + Simon + Operation (USA),游戏三合一 （美版）,游戏三合一,
GBA#106,3 Game Pack! - The Game of Life + Payday + Yahtzee (USA),游戏3合1 - 生活的游戏+发薪日+快艇骰子 （美版）,游戏3合1 - 生活的游戏+发薪日+快艇骰子,
GBA#107,"3 Games in 1 - Rugrats - I Gotta Go Party + SpongeBob SquarePants - SuperSponge + Tak and the Power of Juju (Europe) (En+En+En,Fr,De)","游戏3合1-淘气小兵兵之我要参加宴会+超级海绵大冒险+塔克和符咒的神力 （欧版） (En+En+En,Fr,De)",游戏3合1-淘气小兵兵之我要参加宴会+超级海绵大冒险+塔克和符咒的神力,
GBA#108,3 Games in One - Darts + Roll-a-Ball + Shuffle Bowl (Europe),Majesco室内游戏3合1 （欧版）,Majesco室内游戏3合1,
GBA#109,3 Games in One - Darts + Roll-a-Ball + Shuffle Bowl (USA),Majesco室内游戏3合1 （美版）,Majesco室内游戏3合1,
GBA#110,"3 Games in One! - Breakout + Centipede + Warlords (Europe) (En,Fr,De,Es,It)","街机游戏3合1-虫虫入侵.突破重围与战神 （欧版） (En,Fr,De,Es,It)",街机游戏3合1-虫虫入侵.突破重围与战神,
GBA#111,3 Games in One! - Breakout + Centipede + Warlords (USA),街机游戏3合1-虫虫入侵.突破重围与战神 （美版）,街机游戏3合1-虫虫入侵.突破重围与战神,
GBA#112,"3 Games in One! - Super Breakout + Millipede + Lunar Lander (Europe) (En,Fr,De,Es,It)","街机游戏3合1-蜈蚣.方块射击.登月 （欧版） (En,Fr,De,Es,It)",街机游戏3合1-蜈蚣.方块射击.登月,
GBA#113,3 Games in One! - Super Breakout + Millipede + Lunar Lander (USA),街机游戏3合1-蜈蚣.方块射击.登月 （美版）,街机游戏3合1-蜈蚣.方块射击.登月,
GBA#114,"3 Games in One! - Yars' Revenge + Asteroids + Pong (Europe) (En,Fr,De,Es,It)","街机游戏3合1-碰碰弹珠台.爆破慧星与亚尔的复仇 （欧版） (En,Fr,De,Es,It)",街机游戏3合1-碰碰弹珠台.爆破慧星与亚尔的复仇,
GBA#115,3 Games in One! - Yars' Revenge + Asteroids + Pong (USA),街机游戏3合1-碰碰弹珠台.爆破慧星与亚尔的复仇 （美版）,街机游戏3合1-碰碰弹珠台.爆破慧星与亚尔的复仇,
GBA#116,4 Games on One Game Pak (Nickelodeon Movies) (USA),游戏4合1 - GP摩托车赛 GT职业概念锦标车赛1+2+3 (Nickelodeon Movies) （美版）,游戏4合1 - GP摩托车赛 GT职业概念锦标车赛1+2+3,
GBA#117,4 Games on One Game Pak (Nicktoons) (USA),游戏4合1 - GP摩托车赛 GT职业概念锦标车赛1+2+3 (Nicktoons) （美版）,游戏4合1 - GP摩托车赛 GT职业概念锦标车赛1+2+3,
GBA#118,"4 Games on One Game Pak (Racing) (USA) (En,Fr,De,Es,It)","游戏4合1 - GP摩托车赛 GT职业概念锦标车赛1+2+3 (Racing) （美版） (En,Fr,De,Es,It)",游戏4合1 - GP摩托车赛 GT职业概念锦标车赛1+2+3,
GBA#119,4x4 Off-Roaders (Europe) (Proto),4x4赛车 （欧版） （工程版）,4x4赛车,
GBA#120,[BIOS] Game Boy Advance (Japan) (Debug Version),,,
GBA#121,[BIOS] Game Boy Advance (World),,,
GBA#122,Ab durch die Hecke (Germany),篱笆墙外 （德国版）,篱笆墙外,
GBA#123,"Ace Combat Advance (USA, Europe)",王牌空战A （美版 欧版）,王牌空战A,
GBA#124,Ace Lightning (Europe),头号闪电 （欧版）,头号闪电,
GBA#125,Acrobat Kid (Japan),蝙蝠小子 （日版）,蝙蝠小子,
GBA#126,"Action Man - Robot Atak (Europe) (En,Fr,De,Es,It)","机动人-机器人的攻击 （欧版） (En,Fr,De,Es,It)",机动人-机器人的攻击,
GBA#127,"Action Replay (Europe) (En,Fr,De,It) (v3.3) (Unl)","GBA金手指工具 （欧版） (En,Fr,De,It) (v3.3) （非官方版）",GBA金手指工具,
GBA#128,"Action Replay GBX (Europe) (En,Fr,De,It) (Alt 1) (Unl)","GBA金手指工具 （欧版） (En,Fr,De,It) (Alt 1) （非官方版）",GBA金手指工具,
GBA#129,"Action Replay GBX (Europe) (En,Fr,De,It) (Unl)","GBA金手指工具 （欧版） (En,Fr,De,It) （非官方版）",GBA金手指工具,
GBA#130,"Action Replay GBX (Europe) (En,Fr,De,It) (v3.1) (Unl)","GBA金手指工具 （欧版） (En,Fr,De,It) (v3.1) （非官方版）",GBA金手指工具,
GBA#131,Action Replay GBX (Europe) (Unl),GBA金手指工具 （欧版） （非官方版）,GBA金手指工具,
GBA#132,Action Replay MAX (Europe) (Unl),金手指工具 （欧版） （非官方版）,金手指工具,
GBA#133,Activision Anthology (USA),亚特逊经典老游戏合辑 （美版）,亚特逊经典老游戏合辑,
GBA#134,Advance GT2 (Japan) (En),GTA职业概念赛车2 （日版） (En),GTA职业概念赛车2,
GBA#135,Advance GTA (Japan) (En),GTA职业概念赛车1 （日版） (En),GTA职业概念赛车1,
