编号,游戏名称,中文名,中文名_clean,GBA.ZH
GBA#652,Dark Empire (Japan) (Proto),黑暗帝国 （日版） （工程版）,黑暗帝国,
GBA#653,"Dave Mirra Freestyle BMX 2 (Europe) (En,Fr,De,Es,It)","黛夫·米亚自由式自行车越野赛2 （欧版） (En,Fr,De,Es,It)",黛夫·米亚自由式自行车越野赛2,
GBA#654,"Dave Mirra Freestyle BMX 2 (Europe) (En,Fr,De,Es,It) (Rev 1)","黛夫·米亚自由式自行车越野赛2 （欧版） (En,Fr,De,Es,It) （修正版 1）",黛夫·米亚自由式自行车越野赛2,
GBA#655,Dave Mirra Freestyle BMX 2 (USA),黛夫·米亚自由式自行车越野赛2 （美版）,黛夫·米亚自由式自行车越野赛2,
GBA#656,"Dave Mirra Freestyle BMX 3 (USA, Europe)",戴夫·米拉特技自行车3 （美版 欧版）,戴夫·米拉特技自行车3,
GBA#657,"David Beckham Soccer (Europe) (En,Fr,De,Es,It)","大卫·贝克汉姆足球 （欧版） (En,Fr,De,Es,It)",大卫·贝克汉姆足球,
GBA#658,"David Beckham Soccer (USA) (En,Es)","大卫·贝克汉姆足球 （美版） (En,Es)",大卫·贝克汉姆足球,
GBA#659,"Davis Cup (Europe) (En,Fr,De,Es,It)","戴维斯杯网球公开赛 （欧版） (En,Fr,De,Es,It)",戴维斯杯网球公开赛,
GBA#660,"Davis Cup (USA) (En,Fr,De,Es,It)","戴维斯杯网球公开赛 （美版） (En,Fr,De,Es,It)",戴维斯杯网球公开赛,
GBA#661,"Dead to Rights (Europe) (En,Fr,De,Es,It)","脱狱潜龙 （欧版） (En,Fr,De,Es,It)",脱狱潜龙,
GBA#662,Dead to Rights (USA),脱狱潜龙 （美版）,脱狱潜龙,
GBA#663,"Deadly Skies (Europe) (En,Ja,Fr,De)","致命的天空 （欧版） (En,Ja,Fr,De)",致命的天空,
GBA#664,Deal or No Deal (USA),一掷千金 （美版）,一掷千金,
GBA#665,Defender (USA),防御者 （美版）,防御者,
GBA#666,"Defender - For All Mankind (Europe) (En,Fr,De,Es,It)","防御者 （欧版） (En,Fr,De,Es,It)",防御者,
GBA#667,Defender of the Crown (Europe),王冠的守护者 （欧版）,王冠的守护者,
GBA#668,Defender of the Crown (USA),王冠的守护者 （美版）,王冠的守护者,
GBA#669,DemiKids - Dark Version (USA),真女神转生-暗之书 （美版）,真女神转生-暗之书,
GBA#670,DemiKids - Light Version (USA),真女神转生-光之书 （美版）,真女神转生-光之书,
GBA#671,Demon Driver - Time to Burn Rubber! (Europe),魔鬼驾驶员-时间燃烧车! （欧版）,魔鬼驾驶员-时间燃烧车!,
GBA#672,Demon Driver - Time to Burn Rubber! (USA),魔鬼驾驶员-时间燃烧车! （美版）,魔鬼驾驶员-时间燃烧车!,
GBA#673,"Denki Blocks! (Europe) (En,Fr,De,Es,It)","电击方块! （欧版） (En,Fr,De,Es,It)",电击方块!,
GBA#674,Denki Blocks! (Japan),电击方块! （日版）,电击方块!,
GBA#675,"Denki Blocks! (USA) (En,Es)","电击方块! （美版） (En,Es)",电击方块!,
GBA#676,Densetsu no Stafy (Japan),传说的斯塔非1 （日版）,传说的斯塔非1,
GBA#677,Densetsu no Stafy 2 (Japan),传说的斯塔菲2 （日版）,传说的斯塔菲2,
GBA#678,Densetsu no Stafy 3 (Japan),传说的斯塔菲3 （日版）,传说的斯塔菲3,
GBA#679,Densetsu no Stafy 3 (Japan) (Rev 1),传说的斯塔菲3 （日版） （修正版 1）,传说的斯塔菲3,
GBA#680,Derby Stallion Advance (Japan),达比赛马 （日版）,达比赛马,
GBA#681,Desert Strike Advance (USA),沙漠风暴 （美版）,沙漠风暴,
GBA#682,Deutschland Sucht den Superstar (Germany),美国偶像超巨星节拍 （德国版）,美国偶像超巨星节拍,
GBA#683,"Dexter's Laboratory - Chess Challenge (Europe) (En,Fr,De,Es)","幸运的实验室-国际象棋挑战赛 （欧版） (En,Fr,De,Es)",幸运的实验室-国际象棋挑战赛,
GBA#684,Dexter's Laboratory - Chess Challenge (USA),幸运的实验室-国际象棋挑战赛 （美版）,幸运的实验室-国际象棋挑战赛,
GBA#685,"Dexter's Laboratory - Deesaster Strikes! (Europe) (En,Fr,De,Es,It)","德克斯特幸运的实验室! （欧版） (En,Fr,De,Es,It)",德克斯特幸运的实验室!,
GBA#686,"Dexter's Laboratory - Deesaster Strikes! (USA) (En,Fr,De,Es,It)","德克斯特幸运的实验室! （美版） (En,Fr,De,Es,It)",德克斯特幸运的实验室!,
GBA#687,"Dexter's Laboratory - Deesaster Strikes! (USA) (En,Fr,De,Es,It) (Rev 1)","德克斯特幸运的实验室! （美版） (En,Fr,De,Es,It) （修正版 1）",德克斯特幸运的实验室!,
GBA#688,Di Gi Charat - DigiCommunication (Japan),便利商店 （日版）,便利商店,
GBA#689,Diadroids World - Evil Teikoku no Yabou (Japan),危险的世界 （日版）,危险的世界,
GBA#690,Diddy Kong Pilot (Unknown) (Proto) (2001),大金刚领航员 （未知） （工程版） (2001),大金刚领航员,
GBA#691,Diddy Kong Pilot (Unknown) (Proto) (2003),大金刚领航员 （未知） （工程版） (2003),大金刚领航员,
GBA#692,DigiCommunication Nyo - Datou! Black Gemagema Dan (Japan),便利商店2-打倒熊猫少女团 （日版）,便利商店2-打倒熊猫少女团,
GBA#693,"Digimon - Battle Spirit (Europe) (En,Fr,De,Es,It)","数码暴龙 （欧版） (En,Fr,De,Es,It)",数码暴龙,
GBA#694,Digimon - Battle Spirit (USA),数码暴龙 （美版）,数码暴龙,
GBA#695,"Digimon - Battle Spirit 2 (Europe) (En,Fr,De,Es,It)","数码宝贝精神大作战2 （欧版） (En,Fr,De,Es,It)",数码宝贝精神大作战2,
GBA#696,"Digimon - Battle Spirit 2 (USA) (En,Fr,De,Es,It)","数码宝贝精神大作战2 （美版） (En,Fr,De,Es,It)",数码宝贝精神大作战2,
GBA#697,"Digimon Racing (Europe) (En,Fr,De,Es,It)","数码暴龙赛车 （欧版） (En,Fr,De,Es,It)",数码暴龙赛车,
GBA#698,Digimon Racing (Japan),数码暴龙赛车 （日版）,数码暴龙赛车,
GBA#699,"Digimon Racing (USA) (En,Fr,De,Es,It)","数码暴龙赛车 （美版） (En,Fr,De,Es,It)",数码暴龙赛车,
GBA#700,"Dinotopia - The Timestone Pirates (USA, Europe) (En,Fr,De,Es,It,Nl)","时空英豪 （美版 欧版） (En,Fr,De,Es,It,Nl)",时空英豪,
GBA#701,Disney Princesas (Spain),迪斯尼的公主们 （西班牙版）,迪斯尼的公主们,
GBA#702,"Disney Princess (USA, Europe)",迪斯尼公主 （美版 欧版）,迪斯尼公主,
GBA#703,"Disney Princess - Royal Adventure (Europe) (En,Fr,De)","迪斯尼公主-王国冒险 （欧版） (En,Fr,De)",迪斯尼公主-王国冒险,
GBA#704,Disney Princess - Royal Adventure (USA),迪斯尼公主-王国冒险 （美版）,迪斯尼公主-王国冒险,
GBA#705,Disney Princesse (France),迪斯尼公主 （法国版）,迪斯尼公主,
GBA#706,Disney Principesse (Italy),迪斯尼公主 （意大利版）,迪斯尼公主,
GBA#707,Disney Sports - American Football (Japan),迪斯尼全明星运动系列-橄榄球 （日版）,迪斯尼全明星运动系列-橄榄球,
GBA#708,"Disney Sports - Basketball (Europe) (En,Fr,De,Es,It)","迪斯尼全明星体育系列-篮球 （欧版） (En,Fr,De,Es,It)",迪斯尼全明星体育系列-篮球,
GBA#709,Disney Sports - Basketball (Japan),迪斯尼全明星体育系列-篮球 （日版）,迪斯尼全明星体育系列-篮球,
GBA#710,Disney Sports - Basketball (USA),迪斯尼全明星体育系列-篮球 （美版）,迪斯尼全明星体育系列-篮球,
GBA#711,"Disney Sports - Football (Soccer) (Europe) (En,Fr,De,Es,It)","迪斯尼全明星体育系列-足球 (Soccer) （欧版） (En,Fr,De,Es,It)",迪斯尼全明星体育系列-足球,
